gene.id	ura3_noglu_OD0.214	ura3_noglu_OD0.641	ura3_noglu_OD1.47	ura3_withglu_OD0.182	ura3_withglu_OD0.291	ura3_withglu_OD0.5	dtrmB_noglu_OD0.042	dtrmB_noglu_OD0.104	dtrmB_noglu_OD0.355	dtrmB_withglu_OD0.222	dtrmB_withglu_OD0.314	dtrmB_withglu_OD0.8
VNG0057H	-0.237050052	-0.561521257	-0.173105405	-0.028980093	0.009166797	-0.144812688	1.261563994	-0.761222124	-0.518710307	0.081888132	-0.004148501	0.99446132
VNG0058H	-1.514070465	-1.185938301	-0.703635582	-2.064600844	-0.38120116	-0.84818496	-1.646536365	-0.714499352	-1.202814782	-1.737451184	-0.660072547	-0.806638283
VNG0060G	-1.110194649	-1.123316367	-1.877991868	-0.322927598	-1.36197608	-1.080659145	-0.949654778	-0.253920943	-0.576006482	-0.577784948	-1.642636096	-0.868794605
VNG0061C	-0.965710465	-0.99773383	-1.998097148	-0.071152671	-0.45786541	-0.958892056	-1.503996289	-0.68647576	-1.572607303	-0.37752793	-0.699382777	-0.526132654
VNG0062G	0.241893461	-0.360360499	0.026251494	0.545420659	0.446612435	0.144528431	0.319210725	0.652618235	-0.471695049	-0.464019406	0.058132571	-0.020528161
VNG0063G	-0.316174022	-1.488873056	-1.65623594	-0.394754754	-0.350757466	-0.965232586	0.469589707	-0.634989244	-1.424308	-0.50601395	-0.651685382	-0.7792516
VNG0064G	-0.127094456	1.15476137	-0.673170874	0.106304518	1.087167085	0.867093934	-0.383917141	-0.046266394	0.538118938	1.068576413	1.321099642	1.558284154
VNG0065G	-1.489809725	-1.172428014	-0.867705165	-0.257457564	-0.836595198	-0.613421687	-1.857372106	-1.324096826	-1.224409639	-0.38526125	-0.770252278	-0.722174908
VNG0066H	-0.044638214	0.152325484	0.319053898	-0.030819183	0.102439239	-0.063851568	-0.330660141	0.169255088	0.920601534	-0.221913334	0.131673055	0.203726985
VNG0067H	2.096217572	0.706043495	0.750892963	0.128152275	0.576818673	0.564782039	2.122503323	1.610407272	2.543987216	1.48544189	1.012482332	0.66621017
VNG0068H	-0.419259798	0.961670053	0.45951153	-0.058856717	0.656775884	0.444523479	-1.237851225	0.245362146	1.191367252	0.704844198	1.179308702	0.984543485
VNG0069H	0.039346904	0.116651045	0.469886643	-0.444450899	0.49832114	0.013956249	0.312361204	0.003381605	0.231829256	-0.455921031	0.306614423	0.076765337
VNG0070H	-0.20328097	0.412297013	0.611179191	-0.2872027	0.074284874	-0.017727506	-0.258060151	-0.311076224	0.664079816	-0.413424724	0.210589019	0.198242303
VNG0072H	-0.436785262	0.416441056	0.37854336	-1.260477589	-0.328070951	0.261816635	-1.11628983	-0.262803001	-0.380645816	0.031792285	0.010252537	0.544857757
VNG0073C	-0.422915916	-0.149451368	0.211769198	-0.456152702	-0.817756323	0.869268373	1.857372106	-0.274989007	0.281793229	-0.270622792	0.828855638	0.035221047
VNG0075H	0.686990921	0.42205563	-0.043377752	-0.847436373	0.067199187	-0.625705775	0.249087764	-1.764920859	-1.658802833	-0.418135817	-0.037525366	-0.523769465
VNG0076H	0.112138076	0.105328448	-0.753988039	-0.180706144	-0.518638764	0.374344957	-1.166280965	-0.163781933	-0.661327387	-0.53982197	-0.410278444	0.148472867
VNG0077H	0.635646744	-1.440080775	-1.097501003	0.009867245	-1.148495897	-1.496184226	0.048892207	-0.357538451	-1.023417914	-0.208878026	-1.154734927	-0.267226239
VNG0079H	0.377043026	0.972142408	-1.097152985	-0.606911098	-1.005113897	0.801217248	0.175756471	0.223799482	-0.516484566	0.258065895	0.057725105	0.324403658
VNG0080H	0.292528725	-0.523121675	-1.014619014	-0.26249017	-0.518602403	-0.904194874	-0.200075999	-2.048897692	-1.199005625	-0.880482847	-0.826671854	0.229832654
VNG0081G	-0.497350608	0.754143546	-0.52123335	0.983488626	0.203552338	0.951404819	1.10023326	-1.201399641	-0.36045933	-0.827355212	-1.309202801	-0.245132687
VNG0084G	-0.37517974	-1.145970732	-0.621052042	-1.352547366	-0.067636874	0.899974848	0.980803251	-0.866968605	-0.595342914	-1.328845778	-0.287967144	-0.056482941
